P_min_pct,S_min_pct,policy,fit_method,evaluation_window,n_test_months,n_infeasible_fits,n_meets_both,pass_rate_both,pass_rate_packet,pass_rate_sensor,mean_n_links,mean_test_packet_coverage_pct,min_test_packet_coverage_pct,mean_test_worst_sensor_coverage_pct,min_test_worst_sensor_coverage_pct,mean_extra_budget_over_oracle_when_passing,max_extra_budget_over_oracle_when_passing,mean_subset_jaccard_with_test_oracle,n_reconfigurations,mean_consecutive_subset_jaccard,mean_links_changed_per_reoptimization,max_links_changed_in_one_reoptimization
95,85,expanding_window,multicover,common_excluding_new_sensor_cold_starts,13,0,6,0.46153846153846156,0.5384615384615384,0.7692307692307693,10.153846153846153,95.12208473706086,93.92230739249058,86.79285142595577,83.10935068609422,1.3333333333333333,3.0,0.49853479853479854,3,0.9558080808080809,0.5,2
95,85,expanding_window,multicover,excluding_initial_observation_cold_start,15,0,6,0.4,0.4666666666666667,0.6666666666666666,10.133333333333333,93.2926812740702,70.42615581362304,80.2453417376979,0.0,1.3333333333333333,3.0,0.5000373482726422,4,0.9491341991341992,0.5714285714285714,2
95,85,expanding_window,proposed,all_available_policy_months,16,0,8,0.5,0.5,0.6875,10.0625,91.72284933094426,62.564525570751954,76.85667757910545,0.0,1.25,3.0,0.535509955730544,4,0.9287490287490289,0.8666666666666667,7
95,85,expanding_window,proposed,common_after_initial_window,14,0,8,0.5714285714285714,0.5714285714285714,0.7142857142857143,10.142857142857142,93.57835498730476,70.24918295376746,80.60877099929145,0.0,1.25,3.0,0.5260972920636785,3,0.9592074592074593,0.46153846153846156,2
95,85,expanding_window,proposed,common_excluding_new_sensor_cold_starts,13,0,8,0.6153846153846154,0.6153846153846154,0.7692307692307693,10.153846153846153,95.37290668219224,94.7005326750682,86.80944569154464,83.10935068609422,1.25,3.0,0.5394169932631472,3,0.9558080808080809,0.5,2
95,85,expanding_window,proposed,excluding_initial_observation_cold_start,15,0,8,0.5333333333333333,0.5333333333333333,0.7333333333333333,10.133333333333333,93.66673758162376,70.24918295376746,81.00593775000998,0.0,1.25,3.0,0.5455695938048879,3,0.9621212121212122,0.42857142857142855,2
95,85,frozen_initial_window,coverage_only,all_available_policy_months,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,coverage_only,common_after_initial_window,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,coverage_only,common_excluding_new_sensor_cold_starts,13,0,4,0.3076923076923077,0.3076923076923077,0.6153846153846154,10.0,93.71757353757889,84.5873055250381,79.79254754417782,0.0,1.0,1.0,0.4867004790081713,0,1.0,0.0,0
95,85,frozen_initial_window,coverage_only,excluding_initial_observation_cold_start,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,multicover,all_available_policy_months,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,multicover,common_after_initial_window,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,multicover,common_excluding_new_sensor_cold_starts,13,0,4,0.3076923076923077,0.3076923076923077,0.6153846153846154,10.0,93.71757353757889,84.5873055250381,79.79254754417782,0.0,1.0,1.0,0.4867004790081713,0,1.0,0.0,0
95,85,frozen_initial_window,multicover,excluding_initial_observation_cold_start,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,proposed,all_available_policy_months,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,proposed,common_after_initial_window,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,frozen_initial_window,proposed,common_excluding_new_sensor_cold_starts,13,0,4,0.3076923076923077,0.3076923076923077,0.6153846153846154,10.0,93.71757353757889,84.5873055250381,79.79254754417782,0.0,1.0,1.0,0.4867004790081713,0,1.0,0.0,0
95,85,frozen_initial_window,proposed,excluding_initial_observation_cold_start,14,0,4,0.2857142857142857,0.2857142857142857,0.5714285714285714,10.0,91.41272023657869,61.449627323576145,74.09307986245084,0.0,1.0,1.0,0.4669737530639786,0,1.0,0.0,0
95,85,previous_month,coverage_only,all_available_policy_months,16,0,6,0.375,0.375,0.4375,9.3125,91.30827491824664,62.564525570751954,72.80102326450626,0.0,0.16666666666666666,1.0,0.6100342365967366,13,0.6257031857031858,4.533333333333333,8
95,85,previous_month,coverage_only,common_after_initial_window,14,0,6,0.42857142857142855,0.42857142857142855,0.5,9.357142857142858,93.32698567624239,73.780889514681,76.7732528348942,0.0,0.16666666666666666,1.0,0.6177614052614053,11,0.6364353595122826,4.384615384615385,8
95,85,previous_month,coverage_only,common_excluding_new_sensor_cold_starts,13,0,6,0.46153846153846156,0.46153846153846156,0.5384615384615384,9.384615384615385,94.83053153482403,92.85239153080563,82.6788876683476,65.05382567426786,0.16666666666666666,1.0,0.6293840774610006,11,0.6061383061383062,4.75,8
95,85,previous_month,coverage_only,excluding_initial_observation_cold_start,15,0,6,0.4,0.4,0.4666666666666667,9.333333333333334,93.2245248747463,73.780889514681,76.67990648110417,0.0,0.16666666666666666,1.0,0.6250621600621601,12,0.6429237429237429,4.285714285714286,8
