P_min_pct,S_min_pct,method,n_links,selected_links,subset_hash,min_month_packet_coverage_pct,min_month_worst_sensor_coverage_pct,worst_packet_slack_pp,worst_sensor_slack_pp,months_meeting_packet_threshold,months_meeting_sensor_threshold,months_meeting_both_thresholds,mean_packet_shortfall_pp,mean_sensor_shortfall_pp,mean_month_packet_coverage_pct,mean_month_worst_sensor_coverage_pct
83,92,Proposed fairness greedy (lambda=1),14,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor10→gatewayC,ba7836f47dfe,81.05742110584855,17.333499005964214,-1.9425788941514526,-74.66650099403579,16,14,14,0.11426934671479133,6.660226230645622,97.23834709357982,89.23134868455652
83,92,Multi-cover greedy,14,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayB;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor10→gatewayC,7d0409742162,80.99223032302699,17.333499005964214,-2.0077696769730125,-74.66650099403579,16,10,10,0.11810409864547132,7.417269307087821,96.43474975762871,86.58389421375502
83,95,Proposed fairness greedy (lambda=1),17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor05→gatewayC;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor10→gatewayC,126ff9a6f407,92.6020177489569,60.10386612810156,9.602017748956897,-34.89613387189844,17,15,15,0.0,2.0666735145595405,99.1281265199174,94.76426136423231
83,95,Multi-cover greedy,17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor05→gatewayB;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor10→gatewayC,4deb1457865a,88.66211101494581,60.10386612810156,5.662111014945808,-34.89613387189844,17,15,15,0.0,2.0666735145595405,98.62758524078373,94.41404901090611
84,50,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-15.893867954994633,-32.666500994035786,15,16,15,1.186756090188057,1.921558882002105,92.64450689912206,81.14330309886016
84,50,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-17.11200961078889,-32.666500994035786,15,16,15,1.258411481705366,1.921558882002105,92.53240863732839,81.14330309886016
84,51,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-15.893867954994633,-33.666500994035786,15,16,15,1.186756090188057,1.9803824114138697,92.64450689912206,81.14330309886016
84,51,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-17.11200961078889,-33.666500994035786,15,16,15,1.258411481705366,1.9803824114138697,92.53240863732839,81.14330309886016
84,52,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-15.893867954994633,-34.666500994035786,15,16,15,1.186756090188057,2.0392059408256347,92.64450689912206,81.14330309886016
84,52,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-17.11200961078889,-34.666500994035786,15,16,15,1.258411481705366,2.0392059408256347,92.53240863732839,81.14330309886016
84,53,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-15.893867954994633,-35.666500994035786,15,15,15,1.186756090188057,2.153025534191361,92.64450689912206,81.14330309886016
84,53,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-17.11200961078889,-35.666500994035786,15,15,15,1.258411481705366,2.153025534191361,92.53240863732839,81.14330309886016
84,54,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-15.893867954994633,-36.666500994035786,15,15,15,1.186756090188057,2.2706725930148903,92.64450689912206,81.14330309886016
